song_title,lyrics
I Saw Her Standing There,"I Saw Her Standing There Lyrics[Intro: Paul McCartney]
One, two, three, four!
[Verse 1: Paul McCartney, McCartney & John Lennon]
Well, she was just seventeen and you know what I mean
And the way she looked was way beyond compare
So how could I dance with another? (Oh)
When I saw her standing there?

[Verse 2: Paul McCartney, McCartney & John Lennon]
Well, she looked at me, and I, I could see
That before too long, I'd fall in love with her
She wouldn't dance with another (Woah)
When I saw her standing there
[Bridge: Paul McCartney & John Lennon]
Well, my heart went ""boom"" when I crossed that room
And I held her hand in mine

[Verse 3: Paul McCartney, McCartney & John Lennon]
Well, we danced through the night, and we held each other tight
And before too long, I fell in love with her
Now, I'll never dance with another (Woah)
Since I saw her standing there

[Guitar Solo: George Harrison]

[Bridge: Paul McCartney & John Lennon]
Well, my heart went ""boom"" when I crossed that room
And I held her hand in mine

[Verse 3: Paul McCartney, McCartney & John Lennon]
Oh, we danced through the night, and we held each other tight
And before too long, I fell in love with her
Now I'll never dance with another (Oh)
Since I saw her standing there

[Outro: Paul McCartney & John Lennon]
Oh, since I saw her standing there
Yeah, well, since I saw her standing thereYou might also like21Embed"
Misery,"Misery Lyrics[Intro]
The world is treating me bad, misery

[Verse 1]
I'm the kind of guy
Who never used to cry
The world is treating me bad, misery

[Verse 2]
I've lost her now for sure
I won't see her no more
It's gonna be a drag, misery
[Bridge]
I'll remember all the little things we've done
Can't she see she'll always be the only one, only one
[Verse 3]
Send her back to me
'Cause everyone can see
Without her I will be in misery
[Bridge]
I'll remember all the little things we've done
She’ll remember and she’ll miss her only one, lonely one
[Verse 3 - Outro]
Send her back to me
'Cause everyone can see
Without her I will be in misery (Oh oh oh)
In misery (Ooh ooh)
My misery (La la la la la la)
MiseryYou might also like3Embed"
Anna (Go to Him),"Anna (Go to Him) Lyrics[Verse 1]
Anna
You come and ask me, girl
To set you free, girl
You say he loves you more than me, so I will set you free
Go with him (Anna)
Go with him (Anna)

[Verse 2]
Anna
Girl, before you go now
I want you to know, now
That I still love you so, but if he loves you more
Go with him
[Chorus]
All of my life
I've been searching for a girl
To love me like I love you
Oh, now, but every girl I've ever had
Breaks my heart and leaves me sad
What am I, what am I supposed to do?
Oh-oh-oh-oh-oh-oh

[Verse 3]
Anna
Just one more thing, girl
You give back your ring to me, and I will set you free
Go with him

[Chorus]
All of my life
I've been searching for a girl to love me like I love you
But let me tell you now
But every girl I've ever had, breaks my heart and leave me sad
What am I, what am I supposed to do?
Oh-oh-oh-oh-oh-oh

[Verse 4]
Anna
Just one more thing, girl
You give back your ring to me, and I will set you free
Go with him (Anna)
You might also like[Outro]
Go with him (Anna)
You can go with him, girl (Anna)
Go with him7Embed"
Chains,"Chains Lyrics[Chorus]
Chains, my baby's got me locked up in chains
And they ain't the kind that you can see
Whoa, these chains of love got a hold on me, yeah
Chains, well I can't break away from these chains
Can't run around, 'cause I'm not free
Whoa, oh, these chains of love won't let me be, yeah

[Verse 1]
I wanna tell you, pretty baby
I think you're fine
I'd like to love you
But, darlin', I'm imprisoned by these
[Chorus]
Chains, my baby's got me locked up in chains
And they ain't the kind that you can see
Whoa, oh, these chains of love got a hold on me, yeah

[Verse 2]
Please believe me when I tell you
Your lips are sweet
I'd like to kiss them
But I can't break away from all of these

[Chorus]
Chains, my baby's got me locked up in chains
And they ain't the kind that you can see
Whoa, oh, these chains of love got a hold on me, yeah

[Outro]
Chains, chains of love
Chains of love
Chains of loveYou might also like2Embed"
Boys,"Boys Lyrics[Verse 1]
I been told when a boy kiss a girl
Take a trip around the world
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop)
Yeah, she say you do (Bop shuop)

[Verse 2]
My girl says when I kiss her lips
Gets a thrill through her fingertips
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop)
Yeah, she say you do (Bop shuop)
[Chorus]
Well, I talk about boys (Yeah, yeah, boys)
Don't ya know I mean boys? (Yeah, yeah, boys)
Well, I talk about boys, now (Yeah, yeah, boys)
Aaah, boys (Yeah, yeah, boys)
Well, I talk about boys, now (Yeah, yeah, boys)
What a bundle of joy! (Yeah, yeah, boys)
Alright, George!

[Guitar Solo]

[Verse 2]
My girl says when I kiss her lips
Gets a thrill through her fingertips
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop)
Yeah, she say you do (Bop shuop)

[Chorus]
Well, I talk about boys (Yeah, yeah, boys)
Don't ya know I mean boys? (Yeah, yeah, boys)
Well, I talk about boys, now (Yeah, yeah, boys)
Aaah, boys (Yeah, yeah, boys)
Well, I talk about boys, now (Yeah, yeah, boys)
What a bundle of joy! (Yeah, yeah, boys)
You might also like[Outro]
Oh, oh, ah yeah boys (Yeah, yeah, boys)
Don't ya know I mean boys? (Yeah, yeah, boys)
Ooh, boys (Yeah, yeah, boys)
Ah ha (Yeah, yeah, boys)
Well, I talk about boys now (Yeah, yeah, boys)4Embed"
Ask Me Why,"Ask Me Why Lyrics[Verse 1]
I love you, 'cause you tell me things I want to know
And it's true that it really only goes to show
That I know that I—I, I, I
Should never, never, never be blue

[Verse 2]
Now you're mine, my happiness still makes me cry
And in time, you'll understand the reason why
If I cry, it's not because I'm sad
But you're the only love that I've ever had
[Bridge]
I can't believe it's happened to me
I can't conceive of any more—misery

[Chorus]
Ask me why, I'll say I love you
And I'm always thinking of you

[Verse 3]
I love you, 'cause you tell me things I want to know
And it's true that it really only goes to show
That I know that I—I, I, I
Should never, never, never be blue

[Chorus]
Ask me why, I'll say I love you
And I'm always thinking of you

[Bridge]
I can't believe it's happened to me
I can't conceive of any more—misery

[Outro]
Ask me why, I'll say I love you
And I'm always thinking of you
You
YouYou might also like3Embed"
Please Please Me,"Please Please Me Lyrics[Verse 1]
Last night, I said these words to my girl
I know you never even try, girl

[Chorus]
Come on (Come on), come on (Come on)
Come on (Come on), come on (Come on)
Please please me, whoa yeah, like I please you

[Verse 2]
You don't need me to show the way, love
Why do I always have to say, love?
[Chorus]
Come on (Come on), Come on (Come on)
Come on (Come on), Come on (Come on)
Please please me, whoa yeah, like I please you

[Bridge]
I don't want to sound complaining
But you know there's always rain in my heart (In my heart)
I do all the pleasing with you it's so hard to reason
With you, whoa yeah, why do you make me blue?

[Verse 3]
Last night, I said these words to my girl
I know I never even try girl

[Chorus]
Come on (Come on) Come on (Come on)
Come on (Come on) Come on (Come on)
Please, please me, whoa yeah, like I please you
Me, whoa yeah, like I please you
Me, whoa yeah, like I please youYou might also like8Embed"
P.S. I Love You,"P.S. I Love You Lyrics[Intro]
As I write this letter
Send my love to you
Remember that I'll always
Be in love with you

[Verse 1]
Treasure these few words 'til we're together
Keep all my love forever
P.S. I love you
You, you, you
[Verse 2]
I'll be coming home again to you, love
And 'til the day I do, love
P.S. I love you
You, you, you

[Bridge]
As I write this letter
Send my love to you
Remember that I'll always
Be in love with you

[Verse 1]
Treasure these few words 'til we're together
Keep all my love forever
P.S. I love you
You, you, you

[Bridge]
As I write this letter (Oh)
Send my love to you
(You know I want you to)
Remember that I'll always (Yeah)
Be in love with you

[Verse 2]
I'll be coming home again to you, love
And 'til the day I do, love
P.S. I love you
You, you, you
You might also like[Outro]
You, you, you
I love you3Embed"
Ba,"Baby It’s You Lyrics[Intro]
Sha la la la la la la
Sha la la la la la la
Sha la la la la la la
Sha la la la la

[Verse 1]
It's not the way you smile that touched my heart
(Sha la la la la)
It's not the way you kiss that tears me apart
[Pre-Chorus]
Uh, oh
Many, many, many nights go by
I sit alone at home and I cry over you
What can I do?
Can't help myself

[Chorus]
'Cause, baby, it's you (Sha la la la la la la)
Baby, it's you (Sha la la la la la la)
(Sha la la la la)

[Verse 2]
You should hear what they say about you, ""cheat,"" ""cheat""
(Sha la la la la)
They say, they say you never never never ever been true
(Cheat, cheat)

[Pre-Chorus]
Uh, oh
It doesn't matter what they say
I know I'm going to love you any old way
What can I do? And it's true
Don't want nobody, nobody

[Chorus]
'Cause, baby, it's you (Sha la la la la la la)
Baby, it's you (Sha la la la la la la)
You might also like[Instrumental Break]

[Pre-Chorus]
Uh, oh
It doesn't matter what they say
I know I'm going to love you any old way
What can I do? When it's true
Don't want nobody, nobody

[Chorus]
'Cause, baby, it's you (Sha la la la la la la)
Baby, it's you (Sha la la la la la la)

[Outro]
Don't leave me all alone (Sha la la la la la la)
Come on home (Sha la la la la la la)
'Cause, baby, it's you6EmbedBaby’s in Black Lyrics[Chorus]
Oh dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

[Verse 1]
She thinks of him
And so she dresses in black
And though he'll never come back
She's dressed in black
[Chorus]
Oh dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

[Verse 2]
I think of her
But she thinks only of him
And though it's only a whim
She thinks of him

[Bridge]
Oh how long will it take
Till she sees the mistake she has made?

[Chorus]
Dear what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

[Guitar Solo]

[Bridge]
Oh how long will it take
Till she sees the mistake she has made?
You might also like[Chorus]
Dear what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

[Verse 1]
She thinks of him
And so she dresses in black
And though he'll never come back
She's dressed in black

[Chorus]
Oh dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?2EmbedBaby, You’re a Rich Man Lyrics[Verse 1]
How does it feel to be one of the beautiful people?
Now that you know who you are
What do you want to be?
And have you traveled very far?
Far as the eye can see

[Verse 2]
How does it feel to be one of the beautiful people?
How often have you been there?
Often enough to know
What did you see when you were there?
Nothing that doesn't show
[Chorus]
Baby, you're a rich man
Baby, you're a rich man
Baby, you're a rich man, too
You keep all your money in a big brown bag inside a zoo
What a thing to do
Baby, you're a rich man
Baby, you're a rich man
Baby, you're a rich man, too

[Verse 3]
How does it feel to be one of the beautiful people?
Tuned to a natural E
Happy to be that way
Now that you've found another key
What are you going to play?

[Chorus]
Baby, you're a rich man
Baby, you're a rich man
Baby, you're a rich man, too
You keep all your money in a big brown bag inside a zoo
What a thing to do
Baby, baby, you're a rich man
Baby, you're a rich man
Baby, you're a rich man, too
Oh, baby, you're a rich man
Baby, you're a rich man
Baby, baby you're a rich man, tooYou might also like7Embed"
Do You Want to Know a Secret,"Do You Want to Know a Secret Lyrics[Intro]
You'll never know how much I really love you
You'll never know how much I really care

[Verse]
Listen
Do you want to know a secret?
Do you promise not to tell? Whoa oh, oh
Closer
Let me whisper in your ear
Say the words you long to hear
I'm in love with you, ooh
[Verse]
Listen (Do da do)
Do you want to know a secret? (Do da do)
Do you promise not to tell? (Do da do) Whoa oh, oh
Closer (Do da do)
Let me whisper in your ear (Do da do)
Say the words you long to hear
I'm in love with you, ooh

[Bridge]
I've known the secret for a week or two
Nobody knows, just we two

[Verse]
Listen (Do da do)
Do you want to know a secret? (Do da do)
Do you promise not to tell? (Do da do) Whoa oh, oh
Closer (Do da do)
Let me whisper in your ear (Do da do)
Say the words you long to hear
I'm in love with you, ooh
OohYou might also like1Embed"
