title,creation_date,creation_date_earliest,creation_date_latest,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,classification,image_url,artist_id,party_type,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Red Gate of Tokyo University in Early Summer,5/18/1929,1929-05-18,1929-05-18,woodblock print on paper,89.28.67.2.B,cmoa:things/88e02a17-3ce3-4858-af02-d6957afbfaa9,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=683,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Acquired (along with 89.28.67.2.A) by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=28864&size=Medium,cmoa:parties/e5115fa9-4d3b-4ce1-b4ab-665937b0f279|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Fujimori Shizuo|Nakajima Jûtarô of Sôsaku-Hanga Club,Fujimori Shizuo|Nakajima Jûtarô of Sôsaku-Hanga Club,artist|publisher,Japanese|Japanese,1891-01-01|,1943-01-01|,"Japan, Kyushu|",|
Central Meteorological Observatory,7/30/1929,1929-07-30,1929-07-30,"woodblock print, 1 of a pair",89.28.67.3.1,cmoa:things/dfc97472-a130-43b2-94a7-9a5aa8825c0a,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,14.25,19.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=684,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=28903&size=Medium,cmoa:parties/e5115fa9-4d3b-4ce1-b4ab-665937b0f279|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Fujimori Shizuo|Nakajima Jûtarô of Sôsaku-Hanga Club,Fujimori Shizuo|Nakajima Jûtarô of Sôsaku-Hanga Club,artist|publisher,Japanese|Japanese,1891-01-01|,1943-01-01|,"Japan, Kyushu|",|
Central Meteorological Observatory,1929,1929-01-01,1929-01-01,"woodblock print, 1 of a pair",89.28.67.3.2,cmoa:things/e3ab319f-41cf-4c2b-8a9f-8ae2c716d992,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,8.063,10.5,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=685,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Set acquired by Dr. Austin from Charles H. Mitchell, Tokyo, Japan, 11/1965.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=29282&size=Medium,cmoa:parties/e5115fa9-4d3b-4ce1-b4ab-665937b0f279|cmoa:parties/9fbc6c89-34e2-4c9d-9cae-b6279f0a7ceb,Person|Person,Fujimori Shizuo|Nakajima Jûtarô of Sôsaku-Hanga Club,Fujimori Shizuo|Nakajima Jûtarô of Sôsaku-Hanga Club,artist|publisher,Japanese|Japanese,1891-01-01|,1943-01-01|,"Japan, Kyushu|",|
Alexander the Great Taming Bucephalus,c. 1550,1544-12-22,1554-12-22,etching,2002.66.2,cmoa:things/85a50bb6-34ff-45a0-8513-9f3dd780c159,Leisser Art Fund,2002-12-05,Fine Arts,Not on View,18.0,24.0,0.0,8.75,http://collection.cmoa.org/CollectionDetail.aspx?item=688,"Dukes of Marlborough and Northumberland, Syon House A. Hyatt Mayor; Kunsthandlung Helmut H. Rumbler, Frankfurt am  Main",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=97488&size=Medium,cmoa:parties/eccddfd9-40ae-4159-bfa4-8cb397ff8f78|cmoa:parties/98e8573b-02b8-4b0c-94de-1f8e5bcd917c,Person|Person,Master L. D.|Francesco Primaticcio,"Master L. D.|Primaticcio, Frencesco",after|,French|Italian,1535-01-01|1504-01-01,1556-01-01|1570-01-01,"|Bologna (Bologna province, Emilia-Romagna, Italy)","|Paris, France"
Tales of Ise (Ise monogatari),1715,1715-01-01,1715-01-01,"2 Volumes from the set
16 full page prints; 16 small prints",89.28.488.1-.2,cmoa:things/353c99e7-86b8-468b-833c-42595a2fc256,Bequest of Dr. James B. Austin,1989-12-07,Fine Arts,Not on View,0.0,0.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=4017,"Bequest of Dr. James B. Austin, Pittsburgh, PA
Acquired by Dr. Austin from  Book Land, Glendale, CA., 7/6/1962.",books,http://collection.cmoa.org/CollectionImage.aspx?irn=124858&size=Medium,cmoa:parties/3f8d5656-1fd7-4a8e-91ff-6e898787792f|cmoa:parties/7841b4d6-f2b4-449d-8e04-a00c455625d2|cmoa:parties/0922e835-4854-4800-a70d-83434f23cb0c,Person|Person|Person,unknown Japanese|Shibukawa (Seiemon)|Yasui (Kahei),unknown Japanese|Shibukawa (Seiemon)|Yasui (Kahei),publisher|publisher|,Japanese|Japanese|Japanese,||,||,||,||
A Bacchante,1784,1784-01-01,1784-01-01,mezzotint engraving,2006.83.1,cmoa:things/65bfe543-d5c9-4c4f-8921-099a94f0bb27,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,11.0,15.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34296,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=39189&size=Medium,cmoa:parties/caacabc4-6d59-48c0-8d04-a60606fd172e|cmoa:parties/009a6704-7930-4107-bed9-40acd19278bc,Person|Person,John Raphael Smith|Sir Joshua Reynolds,"Smith, John R.|Reynolds, Joshua",printmaker|after,British|British,1752-01-01|1723-07-16,1812-01-01|1792-02-23,"|Plympton, England","|London, England"
"August, from the series ""Twelve Months""",c. 1690-1700,1675-01-01,1710-01-01,mezzotint engraving in brown ink,2006.83.2,cmoa:things/d63d6559-9349-4331-b17d-418f470930c7,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34297,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=39202&size=Medium,cmoa:parties/79ee1859-a7e9-4652-9b99-4d60eb2c86c5|cmoa:parties/d8aab402-7e7f-4f02-8162-a4b1268dead3,Person|Person,Jacob Gole|Cornelis Dusart,"Gole, Jacob|Dusart, Cornelis",|,Dutch|Dutch,1660-01-01|1660-01-01,1732-01-01|1704-01-01,"Amsterdam (North Holland, Netherlands)|",|
"Sir George Bridges Rodney, Bt., Admiral of the White",1780,1780-01-01,1780-01-01,mezzotint engraving,2006.83.3,cmoa:things/beaed4c8-99c6-49d6-b31c-4b3f59505d36,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34298,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=94608&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=39204&size=Medium,cmoa:parties/a2502da4-0653-4daf-87a7-aa8217e9027a|cmoa:parties/009a6704-7930-4107-bed9-40acd19278bc,Person|Person,James Watson|Sir Joshua Reynolds,"Watson, James|Reynolds, Joshua",printmaker|after,Irish|British,1740-01-01|1723-07-16,1790-01-01|1792-02-23,"|Plympton, England","|London, England"
Constantinus Hugenius [Constantine Huygens],c. 1660-1680,1660-01-01,1690-01-01,mezzotint engraving,2006.83.4,cmoa:things/536a021a-7bc7-4772-ad95-036e9b7b6278,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34300,"Rolf and Magda Loeber, Pittsburgh, PA, by February 2007; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=39207&size=Medium,cmoa:parties/9708b2d7-84c0-48de-837f-ba8a217c1861|cmoa:parties/29702745-d089-4b0a-9e6e-f3c27bc244bb,Person|Person,Abraham Blooteling|Bernard Vaillant,"Blooteling, Abraham|Vaillant, Bernard",printmaker|after,Dutch|Flemish,1640-01-01|1632-01-01,1690-01-01|1698-01-01," Amsterdam (North Holland, Netherlands)|"," Amsterdam (North Holland, Netherlands)|"
Henry Laurens [Lauren],1783,1783-01-01,1783-01-01,stipple engraving,2006.83.6,cmoa:things/c5fd297a-b6b8-4591-9a4a-798512fbf6c6,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,8.0,10.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34304,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104120&size=Medium,cmoa:parties/6f45ef33-9deb-49a1-95c6-be5134cdef89|cmoa:parties/8ae7dbb7-9de4-4ea5-bbb8-e44ddba4191b,Person|Person,Benjamin Beale Evans|Pierre Eugène Du Simitière,"Evans, Benjamin Beale|Du Simitière, Pierre Eugène",printmaker|after,British|Swiss,|1726-01-01,1824-01-01|1784-01-01,"|Geneva, Switzerland","|Philadelphia, United States"
