,0
0,"Aureolus invades Italy, is defeated and beſieged at Milan."
1,A. D. 268.
2,A. D. 268. March 20. Death of Gallienus.
3,Character and elevation of the emperor Claudius.
4,Death of Aureolus.
5,Clemency and juſtice of Claudius.
6,He undertakes the reformation of the army.
7,A. D. 269. The Goths invade the empire.
8,Diſtreſs and firmneſs of Claudius.
9,His victory over the Goths.
10,A. D. 270.
11,"March. Death of the emperor, who recommends Aurelian for his ſucceſſor."
12,The attempt and fall of Quintilius.
13,April.
14,Origin and ſervices of Aurelian.
15,Aurelian's ſucceſsful reign.
16,His ſevere diſcipline.
17,"He concludes a treaty with the Goths,"
18,and reſigns to them the province of Dacia.
19,The Alemannie war.
20,A. D. 270. September.
21,"The Alemanni invade Italy,"
22,and are at laſt vanquiſhed by Aurelian.
23,Superſtitious ceremonies.
24,A. D. 271. January 11.
25,Fortifications of Rome.
26,Aurelian ſuppreſſes the two uſurpers.
27,Succeſſion of uſurpers in Gaul.
28,The reign and defeat of Tetricus.
29,A. D. 271. Summer.
30,A. D. 272. Character of Zenobia;
31,her beauty and learning;
32,her valour.
33,"She revenges her huſband's death,"
34,A. D. 250.
35,and reigns over the Eaſt and Egypt.
36,The expedition of Aurelian. A. D. 272.
37,The emperor defeats the Palmyrenians in the battles of Antioch and Emeſa.
38,The ſtate of Palmyra.
39,"It is beſieged by Aurelian,"
40,who becomes maſter of Zenobia and of the city.
41,A. D. 273.
42,Behaviour of Zenobia.
43,Rebellion and ruin of Palmyra.
44,Aurelian ſuppreſſes the rebellion of Firmus in Egypt.
45,A. D 274.
46,Triumph of Aurelian.
47,His treatment of Tetricus and Zenobia.
48,His magnificence and devotion.
49,He ſuppreſſes a ſedition at Rome.
50,Obſervations upon it.
51,Cruelty of Aurelian.
52,"He marches into the Eaſt, and is aſſaſſinated."
53,A. D. 274. October.
54,A. D. 275. January.
55,Extraordinary conteſt between the army and the ſenate for the choice of an emperor.
56,A. D. 275. Feb. 3.
57,A peaceful interregnum of eight months.
58,A. D. 275. Sept. 25.
59,The conſul aſſembles the ſenate.
60,Character of Tacitus.
61,"He is elected emperor,"
62,and accepts the purple.
63,Authority of the ſenate.
64,Their joy and confidence.
65,A. D. 276. Tacitus is acknowledged by the army.
66,"The Alani invade Aſia, and are repulſed by Tacitus."
67,Death of the emperor Tacitus.
68,A. D. 276. April 12.
69,Uſurpation and death of his brother Florianus.
70,July.
71,Their family ſubſiſts in obſcurity.
72,Character and elevation of the emperor Probus.
73,His reſpectful conduct towards the ſenate.
74,A. D. 276. Auguſt 3.
75,Victories of Probus over the barbarians.
76,A. D. 277.
77,"He delivers Gaul from the invaſion of the Germans,"
78,and carries his arms into Germany.
79,He builds a wall from the Rhine to the Danube.
80,Introduction and ſettlement of the barbarians.
81,Daring enterpriſe of the Franks.
82,Revolt of Saturninus in the Eaſt;
83,A. D. 279.
84,A. D. 280. of Bonoſus and Proculus in Gaul.
85,A. D. 281.
86,Triumph of the emperor Probus.
87,His diſcipline.
88,His death.
89,"A. D. 282, Auguſt."
90,Election and character of Carus.
91,The ſentiments of the ſenate and people.
92,"Carus defeats the Sarmatians, and marches into the Eaſt;"
93,A. D. 283.
94,he gives audience to the Perſian ambaſſadors.
95,His victories and extraordinary death.
96,A. D. 283. Dec. 25.
97,He is ſucceeded by his two ſons Carinus and Numerian.
98,A. D. 384. Vices of Carinus.
99,He celebrates the Roman games.
100,Spectacles of Rome.
101,The amphitheatre.
102,A. D. 284. Sept. 12.
103,Return of Numerian with the army from Perſia.
104,Death of Numerian.
105,A. D. 284. Sept. 17.
106,Election of the emperor Diocletian.
107,Defeat and death of Carinus.
108,A. D. 285. May.
109,Elevation and character of Diocletian.
110,A. D. 285.
111,His clemency and victory.
112,Aſſociation and character of Maximian.
113,A. D 286. April 1.
114,Aſſociation of two Caeſars.
115,Galerius and Conſtantius.
116,A. D. 292. March 1.
117,Departments and harmony of the four princes.
118,Series of events.
119,A. D. 287. State of the peaſants of Gaul.
120,"Their rebellion,"
121,and chaſtiſement.
122,A. D. 287.
123,Revolt of Carauſius in Britain.
124,Importance of Britain.
125,"Power of Carauſius,"
126,A. D. 289. acknowledged by the other emperors.
127,A. D. 292.
128,A. D. 294.
129,His death.
130,A. D. 296.
131,Recovery of Britain by Conſtantius.
132,Defence of the frontiers.
133,Fortifications.
134,Diſſentions of the barbarians.
135,Conduct of the emperors.
136,Valour of the Caeſars.
137,Treatment of the barbarians.
138,Wars of Africa and Egypt.
139,A. D. 296.
140,Conduct of Diocletian in Egypt.
141,He ſuppreſſes books of alchymy.
142,Novelty and progreſs of that art.
143,The Perſian war.
144,Tiridates the Armenian.
145,A. D. 282.
146,A. D. 286.
147,His reſtoration to the throne of Armenia.
148,State of the country.
149,Revolt of the people and nobles.
150,Story of Mamgo.
151,The Perſians recover Armenia.
152,War between the Perſians and the Romans.
153,A. D. 296.
154,Defeat of Galerius.
155,His reception by Diocletian.
156,Second campaign of Galerius.
157,A. D. 297.
158,His victory.
159,and behaviour to his royal captives.
160,Negociation for peace.
161,Speech of the Perſian ambaſſador.
162,Anſwer of Galerius.
163,Moderation of Diocletian.
164,Concluſion
165,and articles of the treaty.
166,The Aboras fixed as the limits between the empires.
167,Ceſſion of five provinces beyond the Tigris.
168,Armenia.
169,Iberia.
170,Triumph of Diocletian and Maximian.
171,A. D. 303. Nov. 20.
172,Long abſence of the emperors from Rome.
173,Their reſidence at Milan
174,and Nicomedia.
175,Debaſement of Rome and of the ſenate.
176,"New bodies of guards, Jovians and Herculians."
177,Civil magiſtracies laid aſide.
178,Imperial dignity and titles.
179,"Diocletian aſſumes the diadem, and introduces the Perſian ceremonial."
180,"New form of adminiſtration, two Auguſti, and two Caeſars."
181,Increaſe of taxes.
182,Abdication of Diocletian and Maximian.
183,Reſemblance to Charles the Fifth.
184,A. D. 304. Long illneſs of Diocletian.
185,His prudence.
186,A. D. 305. May 1.
187,Compliance of Maximian.
188,Retirement of Diocletian at Salona.
189,"His philoſophy,"
190,and death. A. D. 313.
191,Deſcription of Salona and the adjacent country.
192,Of Diocletian's palace.
193,Decline of the arts.
194,Of letters.
195,The new Platoniſts.
196,Period of civil wars and confuſion.
197,A. D. 305—323.
198,Character and ſituation of Conſtantius.
199,Of Galerius.
200,"The two Caeſars, Severus and Maximin."
201,Ambition of Galerius diſappointed by two revolutions.
202,"Birth, education, and eſcape of Conſtantine. A. D. 274."
203,A. D. 292.
204,"Death of Conſtantius, and elevation of Conſtantine. A. D. 306. July 25."
205,"He is acknowledged by Galerius, who gives him only the title of Caeſar, and that of Auguſtus to Severus."
206,The brothers and ſiſters of Conſtantine.
207,Diſcontent of the Romans at the apprehenſion of taxes.
